Artist,Track
Yashraj,Dhundhala
Manan Bhardwaj,Arjan Vailly
Neoni,DARKSIDE
Dilbahar,Superchor
Kanye West,Can't Tell Me Nothing
KK,Zara Sa - Lofi Flip
Amit Trivedi,"Iktara (From ""Wake Up Sid"")"
Kanika Kapoor,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")"
Michael Bublé,Sway
Aditya Gadhvi,Khalasi | Coke Studio Bharat
Daddy Yankee,Gasolina
Vasantrao Deshpande,Ghei Chhand Makarand
Vasantrao Deshpande,Surat Piya Ki Na Chhin Bisaraye
Sushin Shyam,Aadharanjali
Shubh,Still Rollin
Amit Trivedi,Shubhaarambh
Farooq Got Audio,Mujhe Rang De - Trap Mix
KK,"Ajab Si (From ""Om Shanti Om"")"
Aastha Gill,Kamariya
Mitraz,Junoon
Abdul Hannan,Bikhra
Mitraz,Muskurahat
Sohail Sen,Saiyaara
The Kid LAROI,STAY (with Justin Bieber)
Alan Walker,"Alone, Pt. II"
Harrdy Sandhu,Bijlee Bijlee
Abdul Hannan,Gawara
Gminxr,Hustlin'
Jain,Makeba
Monty Sharma,Jab Se Tere Naina
Piyush Mishra,Husna
Shankar-Ehsaan-Loy,Tere Naina
KK,Such Keh Raha Hai
Bombay Jayashri,Zara Zara
Sonu Nigam,Rehnaa Hai Tere Dil Mein
Ali Sethi,Chan Kithan
AP Dhillon,TERE TE
Aditya Rikhari,Pal Bhar
Ritviz,Liggi
Suman Sridhar,Muskaanein Jhooti Hai
OAFF,Doobey
Vishal-Shekhar,"Ghungroo (From ""War"")"
Hariharan,Chanda Re Chanda Re
Shankar-Ehsaan-Loy,Agar Main Kahoon
Madan Mohan,Main Yahaan Hoon
Raghav,Desperado
Kishore Kumar,Intaha Ho Gai Intezar Ki
Jagjit Singh,Tum Ko Dekha To Yeh Khayal Aaya
Jagjit Singh,Hoshwalon Ko Khabar Kya
Jagjit Singh,"Hothon Se Chhu Lo Tum - From ""Prem Geet"""
Jagjit Singh,Tum Itna Jo Muskura Rahe Ho
Riar Saab,Obsessed
Rovalio,Iraaday
Ali Sethi,Ranjish Hi Sahi
Farida Khanum,Aaj Jane Ki Zid Na Karo (Live)
Arijit Singh,Laal Ishq
Calvin Harris,This Is What You Came For
Shaan,Woh Ladki Hai Kahan
Shankar Mahadevan,Uff Teri Adaa
Yashraj,Dhundhala
Jasleen Royal,"Ranjha (From ""Shershaah"")"
Elly Mangat,Affair
Shivoryx,Woh Raat
El Profesor,Bella Ciao [HUGEL Remix]
Ghost,Mary On A Cross
AJR,World's Smallest Violin
Em Beihold,Numb Little Bug
Ava Max,Kings & Queens
Gajendra Verma,Mann Mera
Ariana Grande,7 rings
Talwiinder,Bach Ke
Kishore Kumar,Eena Meena Deeka - Kishore Kumar
Aditya Rikhari,Kya Karein
Benny Dayal,Daaru Desi
Anand Raj Anand,Hoth Rasiley
Mukesh,Main Pal Do Pal Ka Shair Hoon
ElyOtto,SugarCrash!
Aditya Rikhari,Nasamajh
Monali Thakur,Sawaar Loon
AP Dhillon,Brown Munde
The PropheC,Kina Chir
Mohammed Irfan,Baarish
Lucky Ali,Na Tum Jano Na Hum
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")"
Vijay Antony,Naakka Mukka
Shashwat Sachdev,Baaton Baaton Main
Meet Bros Anjjan,Baby Doll
Zaeden,KTMBK
Imagine Dragons,Thunder
Sachin-Jigar,Jaise Mera Tu
Jasleen Royal,Sang Rahiyo
Marshmello,Happier
Iqlipse Nova,Mera Safar
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Abhijeet,Tauba Tumhare Ishare
Sona Mohapatra,Ambarsariya
Pritam,Ye Tune Kya Kiya
Shankar-Ehsaan-Loy,Mera Yaar
Doja Cat,Woman
Lata Mangeshkar,Jiya Jale
Sukhwinder Singh,Chaiyya Chaiyya
Shamur,Let The Music Play - Original Vocal Mix
Calvin Harris,One Kiss (with Dua Lipa)
King,Maan Meri Jaan
Shivam Pathak,"Ek Dil Ek Jaan (From ""Padmaavat"")"
Pritam,Afreen
Mohammed Rafi,Likhe Jo Khat Tujhe
Sushin Shyam,"Parudeesa - From ""Bheeshma Parvam"""
The Kid LAROI,STAY (with Justin Bieber)
Hasan Raheem,Aisay Kaisay
Pritam,Pyar Karke
Vismay Patel,Pal Behta Jaaye
Swanand Kirkire,Monta Re
Arijit Singh,Bandeya Rey Bandeya
Hemant Kumar,Beqarar Karke Hamen Yun Na Jaiye
Tapas Relia,Mahabali Maharudra
Shabbir Kumar,I Don't Know What To Do
Ritu Pathak,Papa Jag Jayega
Tarun Sagar,Oh Girl You're Mine .
Sanam,Gulabi Aankhen
AP Dhillon,Excuses
Pritam,Woh Din
Brodha V,Vainko
KK,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")"
Mohammed Rafi,Taarif Karoon Kya Uski
Shubh,No Love
Shubh,We Rollin
Eminem,Mockingbird
Anurag Saikia,Aise Kyun
Suzzane D'Mello,Mahiya
Rashid Ali,Kabhi Kabhi Aditi
Sushma Shrestha,Kya Hua Tera Vada
Mohammed Rafi,Likhe Jo Khat Tujhe
Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love
Lady Gaga,Bloody Mary
Shashwat Sachdev,Baaton Baaton Main
"Honey , Badshah",Choot Vol. 1
SARRB,Zulfaan
Abhilasha Sinha,Jab Tum Miley
Lucky Ali,Intezaar
Sickflip,Mehmaan
Yashraj Mukhate,Bing Bing Boo!
Salman Elahi,Pahadon Mein
Osho Jain,Humara Ho Gaya
Lata Mangeshkar,Aaja Sanam Madhur Chandni Men
Anirudh Ravichander,Maari Thara Local - Here Comes Maari
Daler Mehndi,Aasman Ko Chukar
Indravathi Chauhan,Oo Antava Oo Oo Antava
Pritam,Alvida
Amit Trivedi,Ghodey Pe Sawaar
Noor Chahal,Surmedani
Ammy Virk,Main Suneya
Farasat Anees,Halka Halka Saroor
Farasat Anees,Yaari
Farasat Anees,Dill Laggi
Shubh,WE ROLLIN
Arijit Singh,"Pachtaoge (From ""Jaani Ve"")"
Lata Mangeshkar,Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix
Boney M.,Rasputin
Brodha V,Aathma Raama
Neeti Mohan,Nainowale Ne
Sam Smith,Unholy (feat. Kim Petras)
Elly Mangat,Affair
Sonu Nigam,Dil Dooba
Adnan Sami,Mehbooba Mehbooba
Adnan Sami,Gela Gela Gela
Kaskade,On Your Mind
AP Dhillon,Summer High
Nico & Vinz,Am I Wrong
Farasat Anees,BIBA
Ali Sethi,Chan Kithan
Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah)
MrSuicideSheep,sunrise breakfast
Pate Jaar,Deixa A Gira Girar
Nu,Man O To - Original Mix
TroyBoi,On My Own
The Spy From Cairo,Nafas
Billie Eilish,MyBoi - TroyBoi Remix
Justin Bieber,Red Eye (feat. TroyBoi)
TroyBoi,Afterhours feat. Diplo & Nina Sky
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
Linkin Park,In the End
Faridkot,Nasha (Equals Sessions)
Farooq Got Audio,Kabhi Aar Kabhi Paar - Farooq Got Audio Mix
Asha Bhosle,Abhi Na Jao Chhod Kar
Farooq Got Audio,Roop Suhana Lagta Hai - Farooq Got Audio Mix
Pritam,"Kesariya (From ""Brahmastra"")"
Akshay Verma,Rum Whisky
Cigarettes After Sex,Young & Dumb
Cigarettes After Sex,K.
Cigarettes After Sex,Sunsetz
Shaggy,Mr Boombastic
Sultana,Patakha Guddi
Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")"
Lucky Ali,Hairat
Salim–Sulaiman,Maula Mere Lele Meri Jaan
Drake,Hotline Bling
Shubh,NO LOVE
Olivia Rodrigo,All I Want
Sean Paul,No Lie
Dua Lipa,Levitating
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
Charlie Puth,Attention
Maninder Buttar,Sakhiyaan
King,Tu Aake Dekhle
Coolio,Gangsta's Paradise
Imagine Dragons,Bad Liar
Elley Duhé,MIDDLE OF THE NIGHT
Aditya Rikhari,Faasle
Imagine Dragons,Enemy - From the series Arcane League of Legends
The Weeknd,Blinding Lights
Mitraz,Akhiyaan
EMELINE,cinderella's dead
Shankar-Ehsaan-Loy,O Rangrez
