Artist,Track
Shivoryx,Woh Raat
AP Dhillon,Brown Munde
Jasleen Royal,Sang Rahiyo
Iqlipse Nova,Mera Safar
Sushin Shyam,"Parudeesa - From ""Bheeshma Parvam"""
Hasan Raheem,Aisay Kaisay
AP Dhillon,Excuses
Pritam,Woh Din
Anurag Saikia,Aise Kyun
Shashwat Sachdev,Baaton Baaton Main
SARRB,Zulfaan
Lucky Ali,Intezaar
Salman Elahi,Pahadon Mein
Amit Trivedi,Ghodey Pe Sawaar
Farasat Anees,Yaari
Farasat Anees,Dill Laggi
Sam Smith,Unholy (feat. Kim Petras)
Elly Mangat,Affair
Farasat Anees,BIBA
Faridkot,Nasha (Equals Sessions)
Maninder Buttar,Sakhiyaan
King,Tu Aake Dekhle
Elley Duhé,MIDDLE OF THE NIGHT
Aditya Rikhari,Faasle
Mitraz,Akhiyaan
EMELINE,cinderella's dead
Samar Mehdi,Sukoon
Shae Gill,Pasoori
Advaita,MoFunk
Shivoryx,Woh Raat
Aditya A,Chaand Baaliyan
The Weeknd,Starboy
Anuv Jain,Baarishein
Rahat Fateh Ali Khan,Omkara
Shashwat Sachdev,Sha- Dobara
The Yellow Diary,Roz Roz
Shuba,Indian Summer
Gautam Kale,Jiyara
Ali Sethi,Chan Kithan
Parul Mishra,Mohbhang
Talwiinder,Kammo Ji
Ali Sethi,Ranjish Hi Sahi
Kavita Seth,Rangi Saari
Job Kurian,Enthavo
MEMBA,"For Aisha (Featured in ""The Sky Is Pink"")"
Anu Malik,Moh Moh Ke Dhaage (Male)
Ritviz,Udd Gaye - Bacardi House Party Sessions
Yashraj,Dhundhala
Raghav,Desperado
Aditya Rikhari,Nasamajh
OAFF,Doobey
Riar Saab,Obsessed
Rovalio,Iraaday
Gminxr,Hustlin'
Farooq Got Audio,Roop Suhana Lagta Hai - Farooq Got Audio Mix
AP Dhillon,Summer High
Abdul Hannan,Bikhra
Sushin Shyam,Aadharanjali
Lady Gaga,Bloody Mary
