Papa Jag Jayega,Ritu Pathak,
Oh Girl You're Mine .,Tarun Sagar,
Atrangi Yaari,Rochak Kohli,
Kesariya ,Pritam,"From ""Brahmastra"")"
Rum Whisky,Akshay Verma,
Kabhi Nahee,Adnan Sami,
Patakha Guddi,Sultana,
Kar Har Maidaan Fateh ,Sukhwinder Singh,"From ""Sanju"")"
Hairat,Lucky Ali,
Maula Mere Lele Meri Jaan,Salim–Sulaiman,
Oo Bolega Ya Oo Oo Bolega ,Kanika Kapoor,"From ""Pushpa The Rise Part - 01"")"
O Rangrez,Shankar-Ehsaan-Loy,
Emosanal Attyachaar ,Band Master Rangeela,Brass Band Version)
Khalbali,A.R. Rahman,
Tu Hai Ki Nahi,Ankit Tiwari,
Breathless - Album - Breathless 98,Shankar Mahadevan,
Vhalam Aavo Ne,Jigardan Gadhavi,
Behene De,Karthik,
Khaabon Ke Parinday,Alyssa Mendonsa,
Binte Dil,Arijit Singh,
Phir Mohabbat,Mohammed Irfan,
Hale Dil,Harshit Saxena,
Tum Hi Ho,Arijit Singh,
Kaho Na Kaho,Amir Jamal,
Jadu Hai Nasha Hai - 2002,Shreya Ghoshal,
Tum Ho,Mohit Chauhan,
Yeh Jism,Ali Azmat,
Lift Karadey,Adnan Sami,
Bheegi Bheegi,James,
Main Dhoondne Ko Zamaane Mein,Arijit Singh,
Haan Main Galat ,Pritam,"From ""Love Aaj Kal"")"
Bulleya ,Pritam,"From ""Ae Dil Hai Mushkil"")"
Channa Mereya ,Pritam,"From ""Ae Dil Hai Mushkil"")"
Haan Main Galat,Pritam,
Kabhi Kabhi Aditi,Rashid Ali,
Omkara,Rahat Fateh Ali Khan,
Tere Rang,Haricharan,
Khoon Chala,A.R. Rahman,
Awari,Adnan Dhool,
Gulabi,Sachin-Jigar,
Hai Rama,Hariharan,
Chaandaniya,Mohan Kannan,
Rama Re,Sanjay Dutt,
Yeh Jo Des Hai Tera,A.R. Rahman,
Zara Zara,Bombay Jayashri,
Ramta Jogi,Sukhwinder Singh,
Mauje Naina,Clinton Cerejo,
Jee Karda ,Divya Kumar,"From ""Badlapur)"
Ae Dil Hai Mushkil Title Track ,Pritam,"From ""Ae Dil Hai Mushkil"")"
Tum Tak,A.R. Rahman,
Cham Cham,Sonu Nigam,
Saadda Haq,Mohit Chauhan,
Kurbaan Hua,Salim–Sulaiman,
Phir Se Ud Chala,Mohit Chauhan,
Banjaara,Mohammed Irfan,
Jiyein Kyun,Papon,
Urvashi Urvashi ,A.R. Rahman,Mtv Unplugged Season 6)
Pareshaan ,Amit Trivedi,MTV Unplugged)
Tu Hi Re,Colonial Cousins,
Kabira,Pritam,
Ilahi,Pritam,
Duaa,Nandini Srikar,
Kal Ho Naa Ho,Shankar-Ehsaan-Loy,
Dil Se Re,A.R. Rahman,
Satarangi Re,Sonu Nigam,
Dil To Bachcha Hai,Rahat Fateh Ali Khan,
Aye Udi Udi Udi,A.R. Rahman,
