Artist,Track
Ghulam Ali,Ae Husn-e-Beparva
Hariharan,Hai Rama
Sona Mohapatra,Aigiri Nandini
Clinton Cerejo,Mauje Naina
Shriram Iyer,Yatra
Ghulam Ali,Hungama Hai Kyon Barpa
Shankar Mahadevan,Shiv Tandav Stotram
Abida Parveen,Aaqa - Coke Studio Season 9
Rahul Deshpande,Kanada Raja Pandharicha
"Sithara Krishnakumar,Sushin Shyam",Cherathukal
Arif Lohar & Meesha Shafi,Alif Allah Chambey Di Booty
Ali Sethi,Ranjish Hi Sahi
Bhimsen Joshi,Majhe Maher Pandhari
Sachin Sanghvi,Radha Ne Shyam Mali Jashe
Bhimsen Joshi,Jo Bhaje Hari Ko Sada
A.R. Rahman,Aao Balma
Clinton Cerejo,Madari
Pritam,Phir Le Aya Dil
Mika Singh,Duma Dum
Ali Sethi,Chan Kithan
Mohammed Rafi,Madhuban Mein Radhika Nache Re
Zohaib Kazi,Hum Dekhenge
Farida Khanum,Aaj Jane Ki Zid Na Karo (Live)
Lata Mangeshkar,Aaja Sanam Madhur Chandni Men
Piyush Mishra,Husna
Vasantrao Deshpande,Ghei Chhand Makarand
Vasantrao Deshpande,Surat Piya Ki Na Chhin Bisaraye
