Artist,Track
Shubh,ELEVATED
Shubh,WE ROLLIN
Shubh,NO LOVE
Ali Zafar,Jhoom
Maninder Buttar,Sakhiyaan
King,Tu Aake Dekhle
Aditya Rikhari,Faasle
Mitraz,Akhiyaan
Samar Mehdi,Sukoon
Lost Stories,Mai Ni Meriye
Gajendra Verma,Tera Ghata
Shae Gill,Pasoori
,
Akanksha Bhandari,Gumsum
NAALAYAK,Zakir
Advaita,MoFunk
Raghu Dixit,Mysore Se Ayi
Kailash Kher,Teri Deewani
Dikshant,Aankhon Se Batana
Shivoryx,Woh Raat
Anumita Nadesan,Khwaab
Aditya A,Chaand Baaliyan
Rabbi Shergill,Bulla Ki Jaana Mein Kaun
Talwiinder,Haal
Talwiinder,Nasha
Sreenath Bhasi,Parudeesa
Zariya,Khoya
Anuv Jain,Baarishein
Kishore Kumar,Mere Sapnon Ki Rani
Shashwat Sachdev,Sha- Dobara
The Yellow Diary,Roz Roz
Shuba,Indian Summer
,
Ritviz,Sathi
Osho Jain,Khush to Hai Na
Nikhita Gandhi,Barse Badariya
Gautam Kale,Jiyara
Prateek Kuhad,cold/mess
Prateek Kuhad,Tere Hi Hum
Anand Bhaskar Collective,Jaadoogari
Aman Moroney,Jiya Kaanch Ka
Clinton Cerejo,Mauje Naina
A.R. Rahman,Ranjha Ranjha Unplugged
Ali Sethi,Chan Kithan
Ali Azmat,Garaj Baras - Live
Ali Sethi,Pehla Qadam
Clinton Cerejo,Baina
John Newman,Love Me Again
Shriram Iyer,Yatra
Ankur Tewari,Yaaron
Talwiinder,Tera Saath
Ritviz,Ari Ari
DIVINE,Jungli Sher
Pav Dharia,Na Ja
Ali Sethi,Mahi Mera
Parul Mishra,Mohbhang
Ali Sethi,Dil Ki Khair
Ali Sethi,Mere Aur Hein Iraaday
Talwiinder,Sajjna
Lucky Ali,O Sanam
AP Dhillon,Excuses
Kavita Seth,Rangi Saari
Faridkot,Nasha (Equals Sessions)
Hasan Raheem,Aisay Kaisay
Farooq Got Audio,Roop Suhana Lagta Hai - Farooq Got Audio Mix
Farooq Got Audio,Kabhi Aar Kabhi Paar - Farooq Got Audio Mix
A.R. Rahman,Hai Rama (Lofi Mix)
,
SARRB,Zulfaan
Abhilasha Sinha,Jab Tum Miley
Lucky Ali,Intezaar
Yashraj Mukhate,Bing Bing Boo!
Salman Elahi,Pahadon Mein
Osho Jain,Humara Ho Gaya
