Artist,Track
Home Free,Sea Shanty Medley
Cigarettes After Sex,Young & Dumb
Cigarettes After Sex,K.
Cigarettes After Sex,Sunsetz
Shaggy,Mr Boombastic
Drake,Hotline Bling
Dua Lipa,Levitating
Charlie Puth,Attention
ElyOtto,SugarCrash!
Imagine Dragons,Bad Liar
Elley Duhé,MIDDLE OF THE NIGHT
Imagine Dragons,Enemy - From the series Arcane League of Legends
The Weeknd,Blinding Lights
EMELINE,cinderella's dead
Taylor Swift,Blank Space
Shanti People,Shiva Tandava Stotram
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow)
Post Malone,rockstar (feat. 21 Savage)
Lil Nas X,Old Town Road - Remix
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Green Day,Boulevard of Broken Dreams
The Weeknd,Starboy
Maroon 5,Memories
Alan Walker,The Spectre
Akon,Bananza (Belly Dancer)
Ed Sheeran,The Joker And The Queen (feat. Taylor Swift)
Calvin Harris,How Deep Is Your Love
Linkin Park,CASTLE OF GLASS
Eminem,Rap God
Eminem,Love The Way You Lie
The Chainsmokers,Something Just Like This
The Chainsmokers,Don't Let Me Down
The Chainsmokers,Closer
Coldplay,Hymn for the Weekend
Maroon 5,Girls Like You
John Newman,Love Me Again
Blonde Redhead,For the Damaged Coda
Cartoon,On & On
Lenka,Everything at Once
Akon,Lonely
Edith Whiskers,Home
Ed Sheeran,Thinking out Loud
Ed Sheeran,Shape of You
Tones And I,Dance Monkey
Bee Gees,Stayin' Alive
Edith Whiskers,Home
Avicii,The Nights
The Beatnuts,Se Acabo (feat. Method Man) - Remix
OneRepublic,Counting Stars
Alan Walker,Alone
Lady Gaga,Bloody Mary
