Artist,Track
Amine val,Reggaeton Party Mix
AP Dhillon,Dil Nu
Rahat Fateh Ali Khan,Rangrez
Kavita Seth,Kabhi Yun Bhi Aa
Las Ketchup,The Ketchup Song (Aserejé) - Hippy
d4vd,Here With Me
Sonu Nigam,Tu
The Weeknd,Call Out My Name
Noor Chahal,Surmedani
Anirudh Ravichander,"Halamithi Habibo (From ""Beast"")"
Farasat Anees,Dill Laggi
Willy William,Paris
,
Prabh Deep,Hira
A.R. Rahman,Zariya
Sonu Nigam,Dil Dooba
Adnan Sami,Gela Gela Gela - Remix
Kaskade,On Your Mind
Disclosure,You & Me - Flume Remix
David Guetta,Titanium (feat. Sia)
Arsh Khairaa,Har Har Shambhu Shiv Mahadeva
Shankar-Ehsaan-Loy,Achha Lagta Hai
Rochak Kohli,Atrangi Yaari
Armin van Buuren,Great Spirit - Extended Mix
Navid Tahernia,Mylikestyle
Sonu Nigam,Dil Dooba
Adnan Sami,Gela Gela Gela - Remix
The Kid LAROI,STAY (with Justin Bieber)
Hasan Raheem,Aisay Kaisay
Anne-Marie,2002
Maninder Buttar,Sakhiyaan
Lucenzo,Danza Kuduro
Troye Sivan,Strawberries & Cigarettes
Ricky Rich,Habibi - Albanian Remix
Abdullah Siddiqui,surface
Rap Demon,Gauntlet 2.0
Talwiinder,Haal
Yashal Shahid,Sajna
Sachin-Jigar,Saibo
Hunterz,Releh
Elly Mangat,Affair
Raga,Sheher
Ikka,Half Window Down
Rawal,PEW PEW!
Shankar-Ehsaan-Loy,Ishq Di Baajiyaan
Raga,Jamnapaar
Prabh Deep,Waqaf
Mandragora,Codeine
Shanti People,Tandava - Blazy & Gottinari Remix
Bahramji,Dreamcatcher
Bahramji,Dreamcatcher
Lil Nas X,MONTERO (Call Me By Your Name) - But Lil Nas X Makes All The Sounds With His Mouth
Lemongrass,Ocean of Love
Sub Urban,Cradles
Shaan Bro,Hymn For The Weekend - Refix
Keys N Krates,Dum Dee Dum
Witt Lowry,Into Your Arms (feat. Ava Max)
Half Cocked,Bad Reputation
AP Dhillon,Excuses
skrr liam,Polozhenieguitar/Drive Forever
CVRTOON,İzmir Marşı
BREVE,Gymnopédie No. 1
A.R. Rahman,"Roja - Version, 2"
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
